6,-0.6,5.4
-7,-2.0,3.5
-7,-0.7,0.0
-8,-0.6,0.0
1,-1.0,0.5
-9,-0.4,0.0
-10,-2.1,6.0
8,-1.8,0.0
-7,-0.8,0.0
5,-1.5,0.0
-14,-1.0,0.0
-13,-0.8,0.0
-12,-1.5,1.70530256582e-13
-12,-0.5,0.0
9,-0.6,8.1
-12,-1.8,3.6
2,-1.7,1.13686837722e-13
-12,-2.1,7.2
-12,-1.5,2.27373675443e-13
10,-0.9,6.0
1,-0.1,1.4
-12,-1.7,2.4
-2,-0.7,2.84217094304e-13
-4,-0.4,2.27373675443e-13
-4,-0.8,1.70530256582e-13
4,-1.2,1.2
-8,-0.8,0.0
-6,-1.9,2.4
8,-1.2,2.4
4,-1.3,0.8
-13,-2.1,7.8
1,-0.2,1.3
-6,-0.7,2.27373675443e-13
-13,-0.4,2.84217094304e-13
-5,-1.9,2.0
-5,-1.4,1.70530256582e-13
-3,-0.4,0.0
15,-0.9,9.0
9,-0.1,12.6
-2,-1.0,2.84217094304e-13
1,-0.1,1.4
-2,-1.9,0.8
-8,-0.7,0.0
6,-1.2,1.8
-8,-1.8,2.4
2,-0.1,2.8
10,-2.1,0.0
-1,-1.1,0.0
-11,-0.4,0.0
-12,-1.2,2.84217094304e-13
-14,-0.6,5.68434188608e-14
-5,-1.2,2.84217094304e-13
12,-0.3,14.4
6,-1.8,2.27373675443e-13
-8,-1.3,2.84217094304e-13
-10,-0.8,1.70530256582e-13
-7,-1.4,0.0
12,-0.5,12.0
5,-1.9,2.84217094304e-13
-13,-1.1,2.84217094304e-13
-4,-1.3,2.84217094304e-13
-4,-0.9,2.27373675443e-13
14,-1.5,1.70530256582e-13
-8,-2.0,4.0
-7,-1.1,2.84217094304e-13
6,-1.2,1.8
-8,-2.0,4.0
8,-1.7,2.84217094304e-13
9,-1.4,0.9
-2,-0.3,2.84217094304e-13
8,-2.0,2.27373675443e-13
8,-1.5,2.84217094304e-13
-13,-1.6,1.3
-14,-0.8,2.84217094304e-13
6,-2.0,2.84217094304e-13
8,-0.7,6.4
-1,-0.5,1.13686837722e-13
-15,-1.7,3.0
-14,-1.5,-1.13686837722e-13
15,-1.3,3.0
-11,-1.7,2.2
2,-0.9,1.2
-10,-0.5,2.84217094304e-13
2,-0.2,2.6
-8,-0.3,2.84217094304e-13
15,-0.1,21.0
-3,-1.0,2.27373675443e-13
-3,-1.3,2.84217094304e-13
-4,-1.1,2.84217094304e-13
-7,-0.3,2.84217094304e-13
