successes,SEBM*,SEBM,Ney,SECM
1,0.00829898628225,0.00861758612646,0.00627042393191,0.00852711828901
2,0.00839191742155,0.00856931333511,0.00668283560602,0.00848494072214
3,0.00831034375718,0.00882336193996,0.00696175803194,0.00874773654002
4,0.00829616185199,0.00888456557868,0.00711122084588,0.00880609825734
5,0.00832950631521,0.00877127203762,0.00728404764124,0.00869268282241
6,0.00854788207454,0.00888791399471,0.00757582039795,0.00882394889482
7,0.00859788647386,0.00903070521197,0.00763393965732,0.00897875778344
8,0.00864539507562,0.00892750294613,0.00786227870242,0.0088667004212
9,0.00875494343606,0.00901735865911,0.00793950292667,0.0089897364589
10,0.00874804130022,0.00910237180572,0.00804775959656,0.00907540185807
11,0.00879320206649,0.00919387192857,0.00817661699722,0.00915081153869
12,0.00893286726698,0.00918944397918,0.00830499867171,0.00916218423184
13,0.00892212687259,0.00925732316038,0.00837197170234,0.0092344860602
14,0.00900143434975,0.00916931563909,0.00848570355671,0.00915425878397
15,0.00908826041694,0.00937697513676,0.00866904091263,0.00936396139817
16,0.00902723165099,0.00940154091917,0.00859262838231,0.00937527442835
17,0.00918368988491,0.00944782712404,0.00869764757103,0.00945006806042
18,0.00918072508884,0.00953263660509,0.00881244467649,0.00952384116565
19,0.00930705761444,0.00962165024385,0.00894236872475,0.0096100208579
20,0.00936085652527,0.00957429275453,0.00898769050537,0.00957776196452
